slug,model,variant_group,missing_core_count,missing_core_items,items_total,terminal_source,terminal_raw,terminal_effective,coding_core,coding_core_count,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_core_count,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_core_count,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,hard-reasoning_item2,hard-reasoning_item2_adjusted,hard-reasoning_item2_base_points,knowledge-science_core,knowledge-science_core_count,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,instruction-context_core,instruction-context_core_count,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,0,,8,Terminal-Bench v4.0,52.0202,52.0202,57.54945,2,2.3620320052452115,59.91148200524521,9,5.392033380472069,Terminal-Bench v4.0,52.0202,2.340909,SciCode,63.0787,2.8385415,53.2962,2,8.872719666928264,62.16891966692826,18,11.190405540047086,AutomationBench-AA,59.3759,5.343831,τ³-Banking,47.2165,4.249485,57.523799999999994,2,0.0,57.523799999999994,37,21.283806,CritPt,29.7143,5.4971455,AA-LCR v1.1,85.3333,15.786660499999998,67.2333,1,0.0,67.2333,22,14.791326,AA-Omniscience Accuracy,67.2333,14.791326,26.2,1,0.0,26.2,14,3.668,GDP.pdf,26.2,3.668,54.5158985,56.325570920519155,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,0,,8,Terminal-Bench v4.0,59.0909,59.0909,57.786199999999994,2,0.0,57.786199999999994,9,5.2007579999999995,Terminal-Bench v4.0,59.0909,2.6590904999999996,SciCode,56.4815,2.5416675,54.9675,2,0.0,54.9675,18,9.89415,AutomationBench-AA,68.4917,6.1642529999999995,τ³-Banking,41.4433,3.7298970000000002,56.1905,2,0.0,56.1905,37,20.790485,CritPt,31.7143,5.8671455,AA-LCR v1.1,80.6667,14.923339500000003,62.6,1,0.0,62.6,22,13.772,AA-Omniscience Accuracy,62.6,13.772,31.0,1,0.0,31.0,14,4.34,GDP.pdf,31.0,4.34,53.997393,53.997393,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,0,,8,Terminal-Bench v4.0,42.4242,42.4242,51.7098,2,5.20995557819316,56.91975557819316,9,5.122778002037385,Terminal-Bench v4.0,42.4242,1.9090889999999998,SciCode,60.9954,2.7447929999999996,46.1078,2,10.622255202664206,56.730055202664204,18,10.211409936479557,AutomationBench-AA,54.0713,4.866417,τ³-Banking,38.1443,3.432987,55.452349999999996,2,0.0,55.452349999999996,37,20.5173695,CritPt,28.5714,5.285709000000001,AA-LCR v1.1,82.3333,15.231660499999998,65.35,1,0.0,65.35,22,14.376999999999999,AA-Omniscience Accuracy,65.35,14.376999999999999,24.0,1,0.0,24.0,14,3.36,GDP.pdf,24.0,3.36,51.2076555,53.58855743851694,3
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,0,,8,Terminal-Bench v4.0,39.899,39.899,48.479600000000005,2,0.0,48.479600000000005,9,4.363164,Terminal-Bench v4.0,39.899,1.795455,SciCode,57.0602,2.567709,52.2055,2,0.0,52.2055,18,9.39699,AutomationBench-AA,60.0811,5.407299,τ³-Banking,44.3299,3.989691,58.142849999999996,2,0.0,58.142849999999996,37,21.5128545,CritPt,32.2857,5.9728544999999995,AA-LCR v1.1,84.0,15.54,59.4,1,0.0,59.4,22,13.068,AA-Omniscience Accuracy,59.4,13.068,27.2,1,0.0,27.2,14,3.8080000000000003,GDP.pdf,27.2,3.8080000000000003,52.1490085,52.1490085,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,0,,8,Terminal-Bench v4.0,48.9899,48.9899,52.6778,2,3.73895816933927,56.41675816933927,9,5.0775082352405345,Terminal-Bench v4.0,48.9899,2.2045455,SciCode,56.3657,2.5364565,49.317750000000004,2,8.494905478269374,57.81265547826938,18,10.406277986088487,AutomationBench-AA,56.5736,5.0916239999999995,τ³-Banking,42.0619,3.785571,54.238099999999996,2,0.0,54.238099999999996,37,20.068096999999998,CritPt,29.1429,5.3914365,AA-LCR v1.1,79.3333,14.676660499999999,60.8667,1,0.0,60.8667,22,13.390674,AA-Omniscience Accuracy,60.8667,13.390674,21.6,1,0.0,21.6,14,3.0240000000000005,GDP.pdf,21.6,3.0240000000000005,50.100968,51.96655722132902,5
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,0,,8,Terminal-Bench v4.0,35.3535,35.3535,45.1652,2,0.0,45.1652,9,4.064868000000001,Terminal-Bench v4.0,35.3535,1.5909075,SciCode,54.9769,2.4739605,49.9281,2,0.0,49.9281,18,8.987058,AutomationBench-AA,59.65,5.3685,τ³-Banking,40.2062,3.6185580000000006,56.5,2,0.0,56.5,37,20.905,CritPt,30.0,5.55,AA-LCR v1.1,83.0,15.355,46.8,1,0.1771821798584625,46.97718217985846,22,10.334980079568862,AA-Omniscience Accuracy,46.8,10.296,24.0,1,0.0,24.0,14,3.36,GDP.pdf,24.0,3.36,47.612926,47.65190607956886,6
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,0,,8,Terminal-Bench v4.0,14.6465,14.6465,35.21675,2,0.0,35.21675,9,3.1695075,Terminal-Bench v4.0,14.6465,0.6590925,SciCode,55.787,2.510415,43.13485,2,0.0,43.13485,18,7.764273,AutomationBench-AA,47.3006,4.257054,τ³-Banking,38.9691,3.507219,55.738099999999996,2,0.0,55.738099999999996,37,20.623096999999998,CritPt,27.1429,5.0214365,AA-LCR v1.1,84.3333,15.601660499999998,57.95,1,0.0,57.95,22,12.749,AA-Omniscience Accuracy,57.95,12.749,21.2,1,0.0,21.2,14,2.968,GDP.pdf,21.2,2.968,47.2738775,47.2738775,7
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,0,,8,Terminal-Bench v4.0,33.3333,33.3333,46.064800000000005,2,0.0,46.064800000000005,9,4.145832,Terminal-Bench v4.0,33.3333,1.4999985,SciCode,58.7963,2.6458335,54.18445,2,0.0,54.18445,18,9.753200999999999,AutomationBench-AA,57.8534,5.206806,τ³-Banking,50.5155,4.546395,53.92855,2,0.0,53.92855,37,19.9535635,CritPt,24.8571,4.5985635,AA-LCR v1.1,83.0,15.355,43.5833,1,0.0,43.5833,22,9.588326,AA-Omniscience Accuracy,43.5833,9.588326,26.6,1,0.0,26.6,14,3.724,GDP.pdf,26.6,3.724,47.1649225,47.1649225,8
kimi-k3,Kimi K3 (max),kimi k3,0,,8,Terminal-Bench v4.0,12.6263,12.6263,36.058499999999995,2,0.0,36.058499999999995,9,3.2452649999999994,Terminal-Bench v4.0,12.6263,0.5681835000000001,SciCode,59.4907,2.6770815,52.1262,2,0.0,52.1262,18,9.382715999999999,AutomationBench-AA,58.273,5.2445699999999995,τ³-Banking,45.9794,4.138146,56.047650000000004,2,0.0,56.047650000000004,37,20.7376305,CritPt,23.4286,4.334291,AA-LCR v1.1,88.6667,16.4033395,47.5833,1,0.0,47.5833,22,10.468326,AA-Omniscience Accuracy,47.5833,10.468326,22.0,1,0.0,22.0,14,3.08,GDP.pdf,22.0,3.08,46.913937499999996,46.913937499999996,9
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,0,,8,Terminal-Bench v4.0,19.697,19.697,38.1471,2,0.0,38.1471,9,3.4332390000000004,Terminal-Bench v4.0,19.697,0.886365,SciCode,56.5972,2.546874,52.4393,2,0.0,52.4393,18,9.439074,AutomationBench-AA,59.9301,5.393709,τ³-Banking,44.9485,4.045365,49.8095,2,0.0,49.8095,37,18.429515,CritPt,18.2857,3.3828544999999997,AA-LCR v1.1,81.3333,15.046660499999998,54.6,1,0.1044186017830242,54.704418601783026,22,12.034972092392266,AA-Omniscience Accuracy,54.6,12.012,21.0,1,0.0,21.0,14,2.94,GDP.pdf,21.0,2.94,46.253828,46.276800092392264,10
gemini-3-7-flash,Gemini 3.7 Flash (high),gemini 3 7 flash,0,,8,Terminal-Bench v4.0,13.6364,13.6364,35.40615,2,0.0,35.40615,9,3.1865535,Terminal-Bench v4.0,13.6364,0.613638,SciCode,57.1759,2.5729154999999997,47.4055,2,0.0,47.4055,18,8.532990000000002,AutomationBench-AA,62.0275,5.5824750000000005,τ³-Banking,32.7835,2.9505149999999998,47.976200000000006,2,0.0,47.976200000000006,37,17.751194,CritPt,14.2857,2.6428545000000003,AA-LCR v1.1,81.6667,15.108339500000001,55.3167,1,0.0,55.3167,22,12.169674,AA-Omniscience Accuracy,55.3167,12.169674,23.6,1,0.0,23.6,14,3.3040000000000003,GDP.pdf,23.6,3.3040000000000003,44.9444115,44.9444115,11
